,5 FLUOROURACIL 84 ugmL,A baumannii 5075,ACTINOMYCIN D 4 ugmL,ACTINOMYCIN D 6 ugmL,ADRIAMYCIN 6 ugmL,AZITHROMYCIN 0.4 ugmL,BENZAKONIUM CHLORIDE 20 ugmL,BENZAKONIUM CHLORIDE 40 ugmL,BLEOMYCIN 1.5 ugmL,BLEOMYCIN 3 ugmL,BLOOD AGAR 1,CAMP 0.2 uM,CCCP 0.05 ugmL,CCCP 0.075 ugmL,CEFSULODIN 3 ugmL,CEFSULODIN 6 ugmL,CHLORHEXIDINE 4 ugmL,CHLORHEXIDINE 7 ugmL,CIPROFLOXACIN 0.00025 ugmL,COPPER SULPHATE 20 ugmL,COPPER SULPHATE 50 ugmL,CYCLIC DI GMP 1 uM,DIBUCAINE 0.25 ugmL,DIMETHYL FUMARATE 0.6 ugmL,DIMETHYL FUMARATE 1 ugmL,DMSO 2.5 ugmL,DMSO 5 ugmL,EDTA 1 mM,EGCG 120 ugmL,EGCG 75 ugmL,EGLA WATER DISINFECTANT 1.5 ugmL,EGLA WATER DISINFECTANT 2.5 ugmL,EGTA 1 mM,ETHANOL 12,FOSFOMYCIN 25 ugmL,FOSFOMYCIN 45 ugmL,GENTAMYCIN 5 ugmL,GLYCOLIC ACID 0.25 ugmL,GLYCOLIC ACID 0.75,HYDROGEN PEROXIDE 1.8 mM,IMIDAZOLE 12 ugmL,IMIDAZOLE 24 ugmL,ISOPROPANOL 5 ugmL,K pneumoniae MKP 103,LOPERAMIDE 60 ugmL,LOPERAMIDE 80 ugmL,LYSOZYME 120 ugmL,MAGNESIUM CHLORIDE 10 mgmL,MAGNESIUM CHLORIDE 5 mgmL,METFORMIN 10 ugmL,METFORMIN 8 ugmL,METHOTREXATE 60 ugmL,MMS 1,MMS 1.5,N HEXANOYL L HOMOSERINE LACTONE 200 ugmL,NIGERICIN 120 ugmL,NIGERICIN 200 ugmL,NO SALT LB with SUCROSE 0 mM,P aeruginosa 1,PROCAINE 1 ugmL,PROCAINE 1.5 ugmL,RIFAMPICIN 0.2 ugmL,SALT 0 mM,SDS 0.25,SODIUM BUTYRATE 50 ugmL,SODIUM BUTYRATE 70 ugmL,SODIUM CHOLATE 100 ugmL,SODIUM DEOXYCHOLATE 105 ugmL,SODIUM DEOXYCHOLATE 90 ugmL,SODIUM TAUROCHOLATE 40 ugmL,SODIUM TAUROCHOLATE 60 ugmL,SPECTINOMYCIN 12 ugmL,SPECTINOMYCIN 9 ugmL,STREPTOMYCIN 3 ugmL,STREPTOMYCIN 8 ugmL,TEMPERATURE 18,TEMPERATURE 25,TEMPERATURE 30,TRICLOSAN 70 ugmL,TRICLOSAN 90 ugmL,TRITON 3,UREA 800 ugmL,UV 0.07 Joules,UV 0.1 Joules,UV 0.2 Joules,UV 0.5 Joules,V cholerae C 7606,VANCOMYCIN 100 ugmL,VANCOMYCIN 60 ugmL,VANILLIN AZITHROMYCIN 1,VANILLIN CIPROFLOXACIN 1,ZINC SULPHATE 150 ugmL,pH 6,M9 A KETOGLUTARATE 1,M9 ACETATE 1,M9 ALANINE 1,M9 FRUCTOSE 1,M9 GLYCEROL 1,M9 MALATE 1,M9 MALTOSE 1,M9 MANNITOL 1,M9 PROLINE 1,M9 PYRUVATE 1,M9 SUCCINATE 1,M9 SUCROSE 1,M9 TREHALOSE 1
VC0066 - thiH - thiH protein,-0.253058819,0.150835948,0.693796903,0.778105301,-0.402855572,0.163514184,0.279785109,0.09423102,0.079429777,0.869278954,1.685440704,0.214628608,-0.200393541,-0.862475091,-0.941906802,-1.385731027,-0.781392933,-0.473952286,0.853902151,-1.345617247,-1.458441151,0.562923292,-2.113566715,0.775362004,-0.23351292,0.540423364,0.609698523,-0.722387916,0.036240749,0.69329722,-1.543667563,-0.775070313,-0.685183297,-0.178503538,-1.922004903,-0.016160242,1.039928929,1.335497596,0.092771846,0.927392458,-0.199909812,-0.563012811,0.331935826,-0.295571006,0.016849859,-0.288319293,-0.295876364,1.687650179,-0.298152569,-0.470281694,-1.444517087,-0.219512131,0.397598897,-1.162184199,-0.001841555,1.255392336,-0.562789907,0.763833463,-0.219401634,-0.27417486,-0.066195171,1.460092942,0.469104375,0.602272407,-1.093056957,-1.0236161,-1.688272646,-0.983877987,-0.230485365,0.494014269,0.404464907,1.003398335,1.815646566,-1.325073694,-0.768036345,1.178507939,1.021703608,0.816691599,0.973458464,-0.988454634,-0.232212016,-2.351515785,1.329741769,0.543473183,0.922945259,0.090649804,1.862660745,0.864971371,-1.909650222,,0.12379063,-0.932183389,-0.714667728,0.583660361,-1.105694132,0.336193025,-0.918685127,-0.070975479,,0.996163866,-0.477407649,0.798996051,0.267068967,-1.386224416,-0.227390903,1.018279795
VC0067 - yqhT - aminopeptidase P,0.155520168,0.617951194,-0.520512348,1.090765326,-0.462090014,0.032227878,-0.488620256,-1.64887938,0.837006024,-0.201818812,0.066549004,0.920344319,-0.657098633,0.797978055,0.057633275,-0.354682785,-1.406108195,0.4829265,0.682439937,-0.941075168,0.234903338,-0.126399306,-0.137748028,-0.696209394,0.676091982,0.450693151,-0.496589182,-0.260870455,0.63740492,1.278018742,-0.700278948,-0.149795629,-0.484593039,0.149912147,-0.911228585,1.708099852,0.664283785,1.66505771,0.628115368,0.248894079,-0.256674312,-0.356723479,-0.223536947,0.544695665,-0.391264407,1.796068492,0.238334056,0.592410434,-1.934730205,0.229220334,-0.057756063,-1.419485263,0.620514942,2.098428294,-0.621460267,0.112877643,0.127372597,-0.307614521,1.156491073,0.532169024,-0.14196819,-0.019354728,0.430489784,1.069433673,-0.291975724,-0.538327902,-0.052017495,-0.352581389,-0.135850033,0.692442188,-0.751165675,0.455960902,-1.002531801,-1.830046426,-0.433293836,-0.68315341,-0.450168045,-0.005983231,1.520567984,0.464325171,-0.969379708,0.694181041,0.152238706,0.228010803,0.44129371,0.014164769,0.562103309,1.438077695,-1.264005886,-3.183399698,-0.165876261,-0.424468445,-0.080247774,0.145336715,-0.009131524,,-0.594591252,-0.088608278,0.081503802,-0.602761822,-0.595061777,0.888689849,-0.004064006,-0.46396704,-0.31100425,0.909761057
"VC0068 - yidZ - transcriptional regulator, LysR family",-1.476527773,0.547689732,-1.202543994,0.80977078,-1.608023202,-0.003874764,0.001511395,-0.324546438,-0.273628146,-1.487823264,0.320716037,0.635251317,0.476161211,0.649893451,-0.911863257,0.060760289,-0.874320481,-0.277451745,-0.193398771,-0.725286544,0.747239043,-0.324209899,1.230406009,0.415640693,-0.746605085,-0.140498374,-0.776446622,-0.302700231,0.093854815,1.098980638,-0.913420985,-0.564374178,0.107471135,-0.576864376,-0.422235848,1.126752961,-0.591980326,1.365637003,0.171927231,1.150790626,0.781634451,-0.029998632,-0.691153262,0.061868905,-0.226127016,1.054703561,-0.516777959,2.466311888,0.410667425,1.053690145,-0.327224678,-0.134414579,-0.989441668,0.925402933,-1.182764967,1.135685198,-0.221234829,-0.756732989,0.678795247,-0.382549956,-0.359997947,-0.50472162,-0.475172456,-0.761723712,0.013906412,0.274428667,0.071144312,0.707950329,0.696618948,0.048477327,0.852409635,-0.329385611,0.320507996,-1.17630549,0.112664178,0.389586147,-0.405965445,-0.126729103,0.083035438,-0.071614432,-0.680368105,-0.187262962,0.645917777,0.539582018,0.448533943,0.500338511,0.046988007,0.72712473,-1.063981765,1.394107544,-0.815252758,1.746927907,-0.946465245,0.228064518,0.065244538,,-1.27088395,0.936802365,-1.238009481,0.809506416,-0.810885868,0.351565805,0.47636519,0.328897775,-0.67419497,0.109939787
"VC0069 - mdtL - multidrug resistance protein, putative",-0.159737589,-0.718197951,-0.090511271,0.242175453,-0.58382541,0.469056147,0.824762875,-0.803652139,-1.59486372,-1.337172738,-0.35220523,-1.543751376,2.129889986,1.83817666,-1.177805391,-1.270162508,-0.674950299,-0.497055027,-0.253655504,0.103388045,1.189096578,-0.900329346,0.229818188,0.674600756,-0.643434372,1.81508826,0.772607607,0.053741852,-1.813745798,-2.19166755,-0.281748383,0.176503498,-0.701142509,-1.293481448,0.722879676,0.368540084,-0.66657262,0.175664962,-0.057901526,0.995907865,-0.438014055,-0.097590204,-0.292581619,0.509108548,0.386808295,-0.635686152,0.011353728,2.066719015,-0.746022847,-0.41481464,-1.374134523,-0.169516657,0.44250118,-0.071391524,-0.643566128,2.195818095,-0.526726166,-0.127305869,0.86272976,0.086983008,-2.378276439,0.307970477,0.16248724,-0.427731009,0.661714282,0.88323739,-0.127291332,-0.708740433,0.730616466,1.692037871,1.588105005,0.34545505,0.327917048,-1.10828035,0.159612067,0.796947802,1.298698626,0.471413859,-0.238826915,-1.708007818,-0.793056878,-0.494290631,0.058629589,1.437706886,0.554343212,1.546495686,-0.311652777,1.409679001,-0.211155904,,-0.142579728,0.25067784,0.356365891,0.690347388,1.314702409,0.452995146,-0.525198181,1.188235588,,0.89013229,-0.642245242,0.215252806,1.509732657,-0.398646069,-1.059191744,-0.286750095
VC0070 - tsrA - hypothetical protein,0.626373591,0.824325256,-1.917108403,0.71555644,-1.906345862,-1.292725652,-1.116229762,-0.128839966,-0.439390294,-0.08377721,-1.99234177,-1.647982669,-0.542658927,0.762846151,-0.825176601,0.112098429,0.16516311,-0.516427849,-0.688145207,-0.724354367,-0.044294803,-0.903379528,0.128413657,-1.718998868,0.160663892,-0.424818404,-1.201476937,0.611062373,0.085591908,-0.115145714,-0.244397031,0.628905275,-0.489873675,1.926831544,-1.250921686,0.161419168,-0.08054988,1.195558755,0.269904908,1.00296419,0.169161275,-0.058342473,0.956939488,0.284799301,-1.405159362,0.83414039,0.785972578,0.495787299,-0.069398364,-0.144204543,1.459238836,-0.563987818,-0.035862707,0.504221069,0.181294505,-0.892322644,-0.406102425,-1.173635413,-0.308387822,1.709292586,0.932047194,0.466574049,-1.07860152,0.115234214,1.892843218,2.250263941,-0.010505624,0.313024591,-0.407043692,-0.835630628,0.908652643,0.315001898,-0.351882288,-0.294500802,1.1912703,-1.156370537,1.53279912,0.382948189,-0.131782295,0.748655038,-0.824175728,0.661092,1.548160419,0.715835032,0.199110065,0.077344808,-1.198140255,1.660049263,-1.033800647,-4.149430269,0.364405367,-1.261462061,-0.154721697,-0.79274245,-0.221806878,,0.369132862,-1.269597496,-1.853670254,-3.105400282,3.12092775,2.140377162,0.033067395,-1.11277488,2.234324873,-0.65348798
VC0071 - asnC - transcriptional regulator AsnC,-0.938927312,-0.623960736,0.896416334,-1.293073751,0.419988982,-0.081643176,2.306789304,0.440347198,0.843306549,1.937402365,-0.778572554,0.255780319,3.085977,2.541955208,-1.977034078,0.610240805,-0.003237848,0.24730674,-0.696430499,0.62269961,0.437771733,-0.626782911,0.154224768,-0.277947669,0.267132749,-0.407510293,0.185158928,-2.242586187,1.131712446,-0.118965067,1.89730008,-0.15853538,2.902378539,-1.309718023,-2.364170769,-1.733305273,-0.54042484,-1.107479001,-1.04996653,-2.827609658,-1.544173565,-0.968673079,-1.776847247,-0.728834412,0.26296979,-0.991648675,0.616553285,-0.961436857,1.506938012,0.191455659,-0.106480525,1.71170464,-0.075162678,0.551519106,-0.308344589,0.426204816,0.366721614,-2.045765394,1.071682657,-1.542016941,-0.149554139,2.979030737,-1.358105345,-1.501362389,-0.392606057,-1.644223671,2.42529525,4.219880161,1.937058776,0.292765242,-0.474741396,2.215389227,1.692661985,1.30811172,-0.109263271,1.351229885,2.182282107,1.969347821,-1.965126191,0.148736851,0.859866605,3.316657842,0.544191074,1.451701549,-0.900621775,-1.52603523,0.290229145,-5.062089174,-0.411177542,,0.082237438,0.078570159,-0.050368958,-3.686258736,1.618725607,1.291729145,-0.114155657,-0.356929287,,-1.105578804,0.149340997,0.830577475,-0.549631012,2.39561155,0.050814734,-1.472086057
VC0072 - pdeB - sensory box/GGDEF family protein,-1.231288098,0.57020986,-1.139445669,0.113231755,-1.888536969,0.034271491,0.358541198,1.282662057,0.158154817,-0.725138821,-0.922690516,-1.179531921,-0.373768081,-0.607514631,1.17440233,-0.21674414,-0.062005668,-0.189313354,0.097798988,-0.04909903,2.402828561,1.680733936,-2.067894586,1.070949374,0.737605764,-0.537408873,0.904342449,1.449386977,-1.366062622,-1.832021342,0.125552591,1.635411432,-0.407351792,1.290508868,-0.644569184,-0.272108518,0.320534054,0.679507975,0.914316878,0.756841175,1.529860553,0.702856681,1.299919425,-1.165915345,-0.535061392,-0.459873585,-0.516005583,1.245985012,1.243307798,-0.47284214,-0.629749163,-0.638213564,0.026123118,0.024550344,-0.183152686,0.799932482,0.375635427,-1.51248194,0.86429691,0.235580784,1.354139575,0.213776853,-0.140008986,0.73055911,0.381484311,0.139987547,-1.099241791,-0.654686351,-0.030593782,1.086743654,0.635870069,-0.121693463,1.218212462,-0.633072733,0.069584759,-0.864462774,1.10692411,-0.910402615,0.025479183,-1.487034324,0.263651831,-0.458371062,-0.015862161,1.691841412,0.549285247,-0.022508553,-0.376045169,0.771113182,-0.699405817,,1.854697006,-1.82707119,0.065493927,1.080396392,-23.389797,0.444272706,0.702503063,-1.177711994,,-1.014446714,-0.087942538,0.716814656,-3.082947345,-10.33220497,0.730081552,-0.742548247
VC0073 - rsmJ - conserved hypothetical protein,-0.933612235,1.256073726,0.410739078,1.785271101,0.099947693,0.43902175,-1.245099375,-1.477720711,-1.994287759,-1.311337079,0.990935556,0.140739401,-2.270303325,-1.69026375,1.119281099,0.486856355,1.030089196,-0.593020567,1.207153289,0.557151296,1.83834667,2.075486631,0.046293105,0.377998549,0.045969405,0.077587552,0.858244269,0.682324359,0.292550487,-1.174302104,-0.352719426,0.500687131,-0.421837815,0.325663267,-0.934237983,-0.315832503,0.495180434,2.398305327,-0.406561496,-0.282864995,0.065909017,-0.087846221,1.829703202,0.745113132,-1.088047928,-0.446219439,0.884443721,0.868357983,-0.350951687,-0.551598768,-1.085187025,1.446251832,1.872851185,-0.057562312,0.926278728,0.442780814,0.120659475,0.173663786,1.061995544,-1.284110894,-0.894866408,-1.027332266,0.540018624,-0.372193999,-0.561349956,-1.881716175,-1.64472999,-2.147703095,-0.986377542,-0.441236125,0.442595712,-1.486928048,-0.627850366,-0.833197776,-1.535440827,1.402208555,-0.129543795,-0.836289513,1.338419921,0.547429868,-0.367390618,-0.249333885,-0.527475101,0.763390544,0.662590987,0.95123234,1.532593707,-0.427554108,0.270278646,-0.490124516,1.574938042,0.779284867,-1.419272924,-2.140318039,-1.45107341,,0.427418333,-0.180742502,-1.244716134,-0.281746249,0.156518747,0.004964248,2.169153517,0.523896258,1.220856903,0.588555873
VC0074 - ukn - hypothetical protein,0.6413288,-0.88698019,-0.472505795,0.298632896,1.063624548,0.739877421,-0.223435254,0.592665052,0.073528628,0.840377151,-0.921039977,-0.302124758,0.270206866,-0.157632414,1.949239646,0.029160821,0.355081051,2.025929072,0.509844671,1.78594978,1.051401579,0.524494352,-0.436901851,-0.199645893,-1.234694663,0.417863244,1.085951557,0.512716639,0.78021314,-0.523987352,0.213021619,1.526679897,2.618402515,-0.384241243,-0.037494796,0.471329939,0.527811476,0.058907681,-0.472507227,-0.695646837,1.774878072,-0.42829153,-0.697490377,0.628767583,0.841377087,0.234235094,-0.476630231,-0.107054046,-2.178686475,-0.481306918,-0.474713412,-0.675733561,0.026864633,-0.446209416,0.117805094,1.060401906,0.39310084,-0.250627072,0.970097114,-0.74327575,0.333965197,-0.657029926,0.700022527,0.631803989,-0.78135915,0.721775954,-0.454387481,1.389967662,-0.012641886,-0.667990441,0.286246571,-0.938549853,0.196938452,0.819382022,-0.297719964,-0.877014353,-0.963104517,-1.292163894,0.203151954,-1.150881732,2.429541516,0.02011511,-0.870339816,-1.560033756,0.09835489,0.646520734,2.348460037,1.252206765,-0.424794121,-1.068931988,0.009321086,1.286782177,0.065592795,-0.571719865,0.54028958,,0.487246888,-0.104036291,-0.157700986,-0.487486716,1.081990479,0.739806421,-0.712697945,-1.083950558,3.082729444,0.565160846
VC0075 - madN - MadN protein,-1.351997827,0.462671182,0.730702852,0.391660114,0.217236215,0.303439597,0.550374387,0.410347143,-0.964639896,-0.560637072,0.213191351,1.920537088,-0.147042065,-0.714907362,-0.51757431,0.20657867,-0.252999258,0.034853945,0.290292111,0.685307297,0.777494706,0.864486987,1.187299421,-0.729396754,-1.709284665,0.410905469,0.833517653,-0.328841863,1.519482915,2.894702421,-0.197204565,-0.826224085,-0.909383277,-1.05893946,0.044327695,0.096272736,-0.136275341,0.637022753,-0.325605871,-0.570179187,0.242970052,-0.662654205,-0.29521602,0.258306831,0.566346727,0.497921682,0.090529932,0.147585078,1.801336458,0.449699979,-0.731090296,0.62089182,0.644894143,0.4599871,0.288287188,1.575709577,0.145887082,-0.491111573,0.996196976,-1.433704239,0.853912106,-1.307473124,-0.543876803,0.197188514,-0.502943128,0.418576916,-0.291972205,-0.151959294,-0.706984371,1.128890912,0.919959853,-0.085026707,0.092987305,0.48051809,-0.217021905,0.715785201,-1.423246142,-0.62441797,0.487505192,-0.452821368,0.328494157,-1.636290214,-0.336249527,-0.700495578,-0.268139952,0.516643495,-1.193994518,0.105777148,1.090141534,0.535432584,0.128592988,0.599940967,-1.236260492,-0.942095728,-0.458248153,,-1.148735113,-1.009156641,0.510863015,0,0.02054563,0.646686074,0.786490354,0.14853983,0.381098585,-1.189752367
VC0076 - uspA - universal stress protein A,0.920155081,-0.695067742,-0.943659747,0.448906387,0.86072551,0.368375054,0.029728846,-0.393410161,-0.118449723,-0.908044171,0.0860936,-0.15492957,-0.306758154,-0.853425863,-1.946656455,-1.050149639,-0.162678499,-0.392799847,-0.115758866,1.781213345,-0.354631053,-0.484582462,0.735123017,0.28479179,0.319796582,1.667523777,1.005636919,-0.675369489,-1.238854467,-0.20965359,0.160318367,-0.00917284,-0.182871188,-1.110195123,-0.301827565,-0.720066638,-1.080690479,-0.436357539,2.236950835,-0.435809954,-0.873539565,1.102080987,-0.576076098,-0.810664055,-0.154694616,-1.233083201,1.423344621,-1.020984022,-1.51561227,-0.006513088,-0.093145162,-0.631509126,-0.169850915,-0.256404786,0.879361064,-0.685491401,-1.125361964,1.151060662,-0.331910303,0.698074626,0.550229487,0.792252455,0.199362162,0.974227819,-0.85784817,0.136110886,-0.384144347,0.077419201,0.235265208,1.791620188,0.700086171,-0.685290675,0.063648017,1.657965996,0.429880294,0.867932103,0.930813237,0.134054258,-0.837760801,-0.271052507,0.047342456,-0.876275821,1.228503458,-0.456976631,-0.16307534,-0.031150502,0.541361106,-0.440040786,0.124915045,,-1.323539022,1.079315276,1.289446056,0.355464658,-0.224738465,-7.731110381,-0.800290192,-0.296796942,,0.185951831,0.118588013,-0.843118555,0.977555532,-0.415374435,0.859737084,-0.116147352
VC0077 - ukn - hypothetical protein,-0.936900951,2.372386843,0.383014202,-0.143168127,0.21619969,-1.909654732,-1.320193662,-1.497751533,-1.385140618,-0.037780398,2.909003146,-0.709274709,-0.394295191,-0.953304241,4.627183496,3.491284414,2.122656481,2.949761871,-0.776744444,0.842044193,1.839404004,0.667510137,1.317209383,-0.471871351,2.735875963,-1.001024885,-1.5052344,-1.665408949,1.576541763,0.800820107,1.883223796,1.553598188,-0.037068436,-0.20308426,0.172559228,-1.934536728,0.442022603,-0.591266274,1.969500853,-0.375949735,4.428127315,3.351616593,-1.134957689,2.073733233,-1.2536448,-0.931412601,-0.507111449,-1.284131231,-1.161536171,-0.14196295,-1.0778125,3.104807793,-0.001052217,0.288526553,-1.044097443,-1.990634609,-0.294454219,1.874586869,2.759870371,-1.259649284,-2.25434169,0.216296387,3.696009383,-1.897766286,-0.098889614,-1.072530771,-0.734106514,1.329763897,-0.797648692,-2.13062235,-2.231923965,-0.807459934,-0.143942833,0.110326382,-1.737428646,-0.849982529,-2.358293391,-1.964570148,-2.416155678,-0.601885603,1.194309435,-0.344245903,-2.298199146,0.926196112,2.76309855,2.761550075,1.529568507,-0.021990097,1.377075074,,1.012521188,1.067320274,-0.180087468,-1.229869637,-0.571436366,0.271129303,0.558986367,1.969118051,,-1.946864551,1.330520988,-1.858501679,0.021644789,1.551054635,-0.684384933,0.528599782
VC0078 - ftn - ferritin,0.795432161,-2.070518838,1.159307346,-1.124243863,-1.585246778,-0.793406758,0.147225187,-0.149102191,-0.117013286,1.129843673,-0.296737183,-0.199246741,0.064865787,-1.395946053,0.317806911,0.218554895,2.080963471,0.523054113,0.494657784,0.329326749,1.136018487,0.650273534,-0.064281246,-0.522937025,0.647732127,1.123868835,-0.078766685,0.719376394,-0.048887757,-1.04272034,0.629187065,1.202648656,0.112005882,0.692204555,1.173845193,-1.836989306,0.553258228,-1.13412728,-0.654063906,-0.832155402,0.927900028,0.161840029,-0.095931408,-1.08650553,-0.374039962,-1.41246603,-0.249210584,-0.291099094,-0.396411987,-0.255831689,-1.246010851,0.10193707,-2.04707548,-0.653910197,0.183847834,1.744346506,1.890858569,-0.587823371,0.617943052,-0.950356404,-1.073838955,-0.442289402,-0.850942007,0.404337659,-0.509737715,-1.002063129,-0.467669183,-0.627157491,0.137845378,-0.888658638,-0.767981503,-0.854428145,1.419302024,-0.152834343,-1.383746365,1.021574739,0.769901374,0.230396535,1.758074701,0.354396993,-0.741469346,0.073480505,-0.420192332,1.476836418,0.663768456,0.954282149,-0.702038075,-0.458094086,1.262633452,-0.211351551,1.088330932,0.486103885,1.819651941,-0.385136571,0.59539992,,-0.225131852,1.54693343,-8.085826189,1.54050339,-0.177589677,-0.723622453,0.915490027,0.273856523,-1.631069399,0.495736479
VC0079 - uspB - conserved hypothetical protein,1.442106602,-0.010461166,-1.445538382,1.136872254,0.173681586,0.235057608,0.755933081,-1.217633626,0.097626868,-0.107457926,-0.757941691,-0.651726606,-0.309453909,-0.953925144,-0.873778558,-1.007119886,-1.724130832,-1.759819291,-0.457547677,0.637768299,-0.745818857,0.364432089,0.381289247,0.5771543,-0.522946587,1.931394438,1.052141481,-0.361014734,-1.170648738,0.156884971,0.376022928,-0.393267883,-0.174389278,-1.350322314,0.494289765,-0.70386026,-1.385546117,-0.616268319,0.049630339,-0.869858167,-0.211379374,0.825930837,-0.620690062,-0.128557714,1.038723103,-0.266292983,0.423733386,-0.126767114,0.086237697,0.328973089,0.80149599,0.93570643,0.340868887,0.552424131,1.002961027,-0.612211412,-1.270479495,0.962475547,-0.84389173,1.748370543,0.040835024,-0.219659797,0.707200443,-0.154610141,-2.451232226,-0.748039574,-0.651617183,-0.39837782,0.117152775,1.652555701,-0.302488871,-1.307163175,1.354929298,1.059314258,0.880927522,0.299455934,0.568494964,-0.822272684,-1.559703989,-1.093893222,0.646107077,-0.353323279,-0.162665406,-0.382806306,0.704479095,-0.537883247,0.777813766,-3.381877799,1.564713518,,-1.122586309,0.758651517,1.645291482,0.284286382,-0.23420519,-0.19197944,-0.420642171,-0.762405884,,0.614072467,0.455260185,-0.056340806,0.659601777,-0.987546327,0.190625648,0.145582538
VC0080 - yhiN - conserved hypothetical protein,-1.228350468,-0.527260218,0.388387864,-0.967856055,0.082276819,-0.134423279,-0.408981075,1.129527614,-1.363773107,0.234232084,-0.769887931,0.002434867,-0.74656906,0.19018919,0.114639223,0.089680194,2.910473836,1.233344936,-0.85715978,0.028874449,2.652354489,1.493600983,-0.140138904,-1.659792096,-0.861788905,-1.356983694,-0.780814139,-0.029604071,2.594929513,1.292593192,1.565216401,1.656187972,1.796740219,-0.621957226,2.133051211,-1.710978018,-1.607211356,-1.018632882,-0.70104558,0.56356521,0.760072919,-0.046157321,-0.996316215,-0.225427694,-0.031909736,-0.025166518,0.340277353,-0.378642846,-0.598066455,0.951563374,-0.12581016,0.341220909,-0.826832006,0.978076972,-0.366288505,-0.93193208,2.903804395,-0.140308253,1.127407914,-0.733923218,-1.57613622,0.686385738,-1.570347359,-0.798163927,-0.013436979,0.364239703,1.022030145,2.519093753,0.04559866,-0.648868456,0.515392789,-0.209923223,0.012886991,0.429574481,-0.290386287,-0.60287355,-0.07736069,-0.544121384,0.110448295,0.589249664,0.76834871,1.056100556,-0.599748113,2.659568239,0.141568038,0.021371858,0.928958889,1.985199215,3.158787155,,0.838093099,0.829608742,-0.662478397,-0.740053493,-12.62097558,0.361201616,0.3287992,1.839967034,,-0.599050579,0.019646166,0.997510258,0.534101575,2.204454675,-0.805357052,-1.188840434
VC0081 - ukn - conserved hypothetical protein,1.068772699,-1.834040859,0.037253972,-0.850171934,0.025798564,0.136670095,0.132239561,0.670940337,0.742363756,1.662260752,-1.625848598,-0.202992259,1.972827848,1.494321998,-1.546485995,-0.24888637,0.482756508,0.321706257,-1.908368191,0.975934094,-0.2041534,-0.764653289,-0.35817149,-0.833428789,1.986757077,-0.292456542,0.480899585,-0.645603432,2.497076439,-0.376259621,1.599191448,0.379840442,1.905197687,-1.200158967,1.326642601,-1.611517443,-0.199073376,-1.694737386,-0.623868552,-0.478491639,-2.057549821,-0.607101483,-1.755186478,-0.972092373,0.770232354,1.866455908,-1.414160038,0.173390307,1.296322472,1.275421334,0.400319266,-0.22633784,0.152416684,0.546368945,-0.529439325,-0.907313822,1.754385912,0.172497106,0.249470636,-0.612839266,-1.126186006,-0.163383059,-1.939741199,-1.251567606,-0.77035627,0.869662311,0.311627476,2.470373785,0.745503621,-0.306335824,0.376798238,-0.019328793,0.508864862,0.980859588,-0.850160383,-0.180134995,1.310809017,0.484187021,-1.019838384,0.262558603,1.366501965,1.372930351,-1.073145873,1.552189208,0.139249342,-1.002100344,1.137915956,-0.033862059,1.929933879,,-0.740958242,0.466289835,-0.627057267,-0.221993563,1.08279867,-7.432876295,-0.39118227,1.815448921,,-0.615537341,0.542587203,-1.280935736,1.013213348,0.9745191,-0.090988426,-1.059106567
VC0082 - rmuC - conserved hypothetical protein,0.017184256,1.675343631,-0.139082565,1.35684063,-0.388088009,0.311631385,0.43357783,-0.14700215,-2.425252277,-2.060199496,0.999050456,1.146584837,-0.726294101,-0.377905288,0.137944291,0.138559236,-1.088047061,-0.183099494,0.973907463,1.911098226,2.51833055,-0.295173839,2.443887119,1.619922497,-0.503990311,-0.899524856,-1.453326279,-0.606970128,1.702673622,1.610075648,0.223159972,-0.649633356,-0.941089153,-1.594381283,0.385415276,-0.682830062,-0.661517503,0.213750047,-1.548589948,-1.903442322,0.679604296,1.645993829,-0.257003455,0.724412093,0.207894379,0.164754041,-0.404171678,1.689047452,1.043061627,0.546358333,-0.465340799,0.33101776,0.098798174,1.611278153,0.716897922,-0.494658629,1.157760137,0.155997219,0.197441202,0.637642679,1.57373472,-1.246731568,-1.240984698,-2.105316408,-0.370996833,-1.223690862,-0.257345643,-1.845261147,-0.853110063,-0.602070922,0.261880408,-0.185796496,0.037938066,-1.35530648,0.118776864,0.03614833,-0.564635298,-0.771569032,-0.06964693,0.188810931,0.868099693,-0.676815837,-0.154092787,-0.947853031,-0.494340865,0.136403692,-0.190333395,0.362830939,-0.934382533,-4.705307309,-1.63649811,0.847595061,-0.984802633,-0.497433409,-1.12919452,,0.929978141,-1.898160892,-0.501350623,-0.559263613,2.70880614,2.473815112,0.67390975,-0.652711073,1.600204754,-0.460905131
